ident,name,coordinates,elevation_ft,iso_country,municipality,iata_code
CYLH,Lansdowne House Airport,"-87.93419647216797, 52.19559860229492",834,CA,Lansdowne House,YLH
CYLJ,Meadow Lake Airport,"-108.52300262451172, 54.125301361083984",1576,CA,Meadow Lake,YLJ
CYLK,Lutselk'e Airport,"-110.681998, 62.418303",596,CA,Lutselk'e,YSG
CYLL,Lloydminster Airport,"-110.072998046875, 53.309200286865234",2193,CA,Lloydminster,YLL
CYLR,Leaf Rapids Airport,"-99.98529815673828, 56.513301849365234",959,CA,Leaf Rapids,YLR
CYLT,Alert Airport,"-62.2806015015, 82.51779937740001",100,CA,Alert,YLT
CYLU,Kangiqsualujjuaq (Georges River) Airport,"-65.9927978515625, 58.71139907836914",215,CA,Kangiqsualujjuaq,XGR
CYLW,Kelowna International Airport,"-119.377998352, 49.9561004639",1421,CA,Kelowna,YLW
CYMA,Mayo Airport,"-135.8679962158203, 63.61640167236328",1653,CA,Mayo,YMA
CYME,Matane Airport,"-67.45330047607422, 48.85689926147461",102,CA,Matane,YME
CYMG,Manitouwadge Airport,"-85.86060333251953, 49.083900451660156",1198,CA,Manitouwadge,YMG
CYMH,Mary's Harbour Airport,"-55.847198486328125, 52.302799224853516",38,CA,Mary's Harbour,YMH
CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,"-105.55899810791016, 50.330299377441406",1892,CA,Moose Jaw,YMJ
CYML,Charlevoix Airport,"-70.2238998413086, 47.59749984741211",977,CA,Charlevoix,YML
CYMM,Fort McMurray Airport,"-111.222000122, 56.653301239",1211,CA,Fort McMurray,YMM
CYMO,Moosonee Airport,"-80.60780334472656, 51.291099548339844",30,CA,Moosonee,YMO
CYMT,Chapais Airport,"-74.5280990600586, 49.77190017700195",1270,CA,Chibougamau,YMT
CYMU,Umiujaq Airport,"-76.51830291748047, 56.53609848022461",250,CA,Umiujaq,YUD
CYMX,Montreal International (Mirabel) Airport,"-74.0386962891, 45.6795005798",270,CA,Montréal,YMX
CYNA,Natashquan Airport,"-61.78919982910156, 50.189998626708984",39,CA,Natashquan,YNA
CYNC,Wemindji Airport,"-78.83110046386719, 53.01060104370117",66,CA,Wemindji,YNC
CYND,Ottawa / Gatineau Airport,"-75.5635986328, 45.521701812699995",211,CA,Gatineau,YND
CYNE,Norway House Airport,"-97.84420013427734, 53.95830154418945",734,CA,Norway House,YNE
CYNL,Points North Landing Airport,"-104.08200073242188, 58.27669906616211",1605,CA,Points North Landing,YNL
CYNM,Matagami Airport,"-77.80280303955078, 49.76169967651367",918,CA,Matagami,YNM
CYNN,Nejanilini Lake Airport,"-97.78029632570001, 59.4874992371",1000,CA,Nejanilini Lake,
CYOA,Ekati Airport,"-110.614997864, 64.6988983154",1536,CA,Ekati,YOA
CYOC,Old Crow Airport,"-139.83900451660156, 67.57060241699219",824,CA,Old Crow,YOC
CYOD,CFB Cold Lake,"-110.27899932861328, 54.404998779296875",1775,CA,Cold Lake,YOD
CYOH,Oxford House Airport,"-95.27890014648438, 54.93330001831055",663,CA,Oxford House,YOH
CYOJ,High Level Airport,"-117.16500091552734, 58.62139892578125",1110,CA,High Level,YOJ
CYOO,Toronto/Oshawa Executive Airport,"-78.894997, 43.922798",460,CA,Oshawa,YOO
CYOP,Rainbow Lake Airport,"-119.40799713134766, 58.49140167236328",1759,CA,Rainbow Lake,YOP
CYOS,Owen Sound / Billy Bishop Regional Airport,"-80.8375015259, 44.5903015137",1007,CA,Owen Sound,YOS
CYOW,Ottawa Macdonald-Cartier International Airport,"-75.66919708251953, 45.3224983215332",374,CA,Ottawa,YOW
CYPA,Prince Albert Glass Field,"-105.672996521, 53.214199066199996",1405,CA,Prince Albert,YPA
CYPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,"-124.075469971, 69.3608381154",15,CA,Paulatuk,YPC
CYPD,Port Hawkesbury Airport,"-61.3680992126, 45.6567001343",377,CA,Port Hawkesbury,YPS
CYPE,Peace River Airport,"-117.4469985961914, 56.226898193359375",1873,CA,Peace River,YPE
CYPG,Southport Airport,"-98.273817, 49.903099",885,CA,Portage la Prairie,YPG
CYPH,Inukjuak Airport,"-78.07689666748047, 58.471900939941406",83,CA,Inukjuak,YPH
CYPL,Pickle Lake Airport,"-90.21420288085938, 51.4463996887207",1267,CA,Pickle Lake,YPL
CYPM,Pikangikum Airport,"-93.97329711914062, 51.819698333740234",1114,CA,Pikangikum,YPM
CYPN,Port Menier Airport,"-64.2885971069336, 49.83639907836914",167,CA,Port-Menier,YPN
CYPO,Peawanuck Airport,"-85.44329833984375, 54.98809814453125",173,CA,Peawanuck,YPO
CYPQ,Peterborough Airport,"-78.36329650878906, 44.22999954223633",628,CA,Peterborough,YPQ
CYPR,Prince Rupert Airport,"-130.445007324, 54.286098480199996",116,CA,Prince Rupert,YPR
CYPW,Powell River Airport,"-124.5, 49.83420181274414",425,CA,Powell River,YPW
CYPX,Puvirnituq Airport,"-77.28690338134766, 60.05059814453125",74,CA,Puvirnituq,YPX
CYPY,Fort Chipewyan Airport,"-111.11699676513672, 58.7672004699707",761,CA,Fort Chipewyan,YPY
CYQA,Muskoka Airport,"-79.30329895019531, 44.974700927734375",925,CA,Muskoka,YQA
CYQB,Quebec Jean Lesage International Airport,"-71.393303, 46.7911",244,CA,Quebec,YQB
CYQD,The Pas Airport,"-101.09100341796875, 53.97140121459961",887,CA,The Pas,YQD
CYQF,Red Deer Regional Airport,"-113.89399719238281, 52.18220138549805",2968,CA,Red Deer,YQF
CYQG,Windsor Airport,"-82.95559692382812, 42.27560043334961",622,CA,Windsor,YQG
CYQH,Watson Lake Airport,"-128.82200622558594, 60.11640167236328",2255,CA,Watson Lake,YQH
CYQI,Yarmouth Airport,"-66.08809661865234, 43.826900482177734",141,CA,Yarmouth,YQI
CYQK,Kenora Airport,"-94.36309814453125, 49.788299560546875",1332,CA,Kenora,YQK
CYQL,Lethbridge County Airport,"-112.800003052, 49.6302986145",3048,CA,Lethbridge,YQL
CYQM,Greater Moncton International Airport,"-64.67859649658203, 46.11220169067383",232,CA,Moncton,YQM
CYQN,Nakina Airport,"-86.69640350341797, 50.18280029296875",1057,CA,Nakina,YQN
CYQQ,Comox Airport,"-124.88700103759766, 49.71080017089844",84,CA,Comox,YQQ
CYQR,Regina International Airport,"-104.66600036621094, 50.43190002441406",1894,CA,Regina,YQR
CYQS,St Thomas Municipal Airport,"-81.11080169677734, 42.77000045776367",778,CA,St Thomas,YQS
CYQT,Thunder Bay Airport,"-89.32389831542969, 48.37189865112305",653,CA,Thunder Bay,YQT
CYQU,Grande Prairie Airport,"-118.885002136, 55.1796989441",2195,CA,Grande Prairie,YQU
CYQV,Yorkton Municipal Airport,"-102.46199798583984, 51.26470184326172",1635,CA,Yorkton,YQV
CYQW,North Battleford Airport,"-108.24400329589844, 52.76919937133789",1799,CA,North Battleford,YQW
CYQX,Gander International Airport,"-54.56809997558594, 48.9369010925293",496,CA,Gander,YQX
CYQY,Sydney / J.A. Douglas McCurdy Airport,"-60.0477981567, 46.161399841299996",203,CA,Sydney,YQY
CYQZ,Quesnel Airport,"-122.51000213623047, 53.026100158691406",1789,CA,Quesnel,YQZ
CYRA,Rae Lakes Airport,"-117.30999755859375, 64.11609649658203",723,CA,Gamètì,YRA
CYRB,Resolute Bay Airport,"-94.9693984985, 74.7169036865",215,CA,Resolute Bay,YRB
CYRI,Rivière-du-Loup Airport,"-69.58470153808594, 47.764400482177734",427,CA,Rivière-du-Loup,YRI
CYRJ,Roberval Airport,"-72.2656021118164, 48.52000045776367",586,CA,Roberval,YRJ
CYRL,Red Lake Airport,"-93.79309844970703, 51.066898345947266",1265,CA,Red Lake,YRL
CYRO,Ottawa / Rockcliffe Airport,"-75.64610290530001, 45.4603004456",188,CA,Ottawa,YRO
CYRP,Ottawa / Carp Airport,"-76.0222015381, 45.3191986084",382,CA,Ottawa,
CYRQ,Trois-Rivières Airport,"-72.67939758300781, 46.35279846191406",199,CA,Trois-Rivières,YRQ
CYRS,Red Sucker Lake Airport,"-93.55719757080078, 54.167198181152344",729,CA,Red Sucker Lake,YRS
CYRT,Rankin Inlet Airport,"-92.1157989502, 62.8114013672",94,CA,Rankin Inlet,YRT
CYRV,Revelstoke Airport,"-118.182998657, 50.9667015076",1459,CA,Revelstoke,YRV
CYSB,Sudbury Airport,"-80.79889678955078, 46.625",1141,CA,Sudbury,YSB
CYSC,Sherbrooke Airport,"-71.69139862060547, 45.4385986328125",792,CA,Sherbrooke,YSC
CYSF,Stony Rapids Airport,"-105.84100341796875, 59.250301361083984",805,CA,Stony Rapids,YSF
CYSG,St Georges Airport,"-70.714699, 46.096401",893,CA,St Georges,
CYSH,Smiths Falls-Montague (Russ Beach) Airport,"-75.94059753417969, 44.94580078125",416,CA,Smiths Falls,YSH
CYSJ,Saint John Airport,"-65.89029693603516, 45.31610107421875",357,CA,Saint John,YSJ
CYSK,Sanikiluaq Airport,"-79.2466964722, 56.5377998352",104,CA,Sanikiluaq,YSK
CYSL,St Leonard Airport,"-67.83470153808594, 47.157501220703125",793,CA,St Leonard,YSL
CYSM,Fort Smith Airport,"-111.96199798583984, 60.020301818847656",671,CA,Fort Smith,YSM
CYSN,Niagara District Airport,"-79.17169952392578, 43.19169998168945",321,CA,St Catharines,YCM
CYSP,Marathon Airport,"-86.34439849853516, 48.75529861450195",1035,CA,Marathon,YSP
CYST,St. Theresa Point Airport,"-94.85189819335938, 53.84560012817383",773,CA,St. Theresa Point,YST
CYSU,Summerside Airport,"-63.83359909057617, 46.44060134887695",56,CA,Summerside,YSU
CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,"-125.242996216, 71.9938964844",282,CA,Sachs Harbour,YSY
CYTA,Pembroke Airport,"-77.25170135498047, 45.86439895629883",529,CA,Pembroke,YTA
CYTE,Cape Dorset Airport,"-76.5267028809, 64.2300033569",164,CA,Cape Dorset,YTE
CYTF,Alma Airport,"-71.64189910889999, 48.50889968869999",445,CA,Alma,YTF
CYTH,Thompson Airport,"-97.86419677734375, 55.80110168457031",729,CA,Thompson,YTH
CYTL,Big Trout Lake Airport,"-89.89689636230469, 53.81779861450195",729,CA,Big Trout Lake,YTL
CYTQ,Tasiujaq Airport,"-69.95580291748047, 58.66780090332031",122,CA,Tasiujaq,YTQ
CYTR,CFB Trenton,"-77.5280990600586, 44.118900299072266",283,CA,Trenton,YTR
CYTS,Timmins/Victor M. Power,"-81.376701355, 48.569698333699996",967,CA,Timmins,YTS
CYTZ,Billy Bishop Toronto City Centre Airport,"-79.396202, 43.627499",252,CA,Toronto,YTZ
CYUB,Tuktoyaktuk Airport,"-133.0260009765625, 69.43329620361328",15,CA,Tuktoyaktuk,YUB
CYUL,Montreal / Pierre Elliott Trudeau International Airport,"-73.7407989502, 45.4706001282",118,CA,Montréal,YUL
CYUT,Repulse Bay Airport,"-86.22470092770001, 66.5214004517",80,CA,Repulse Bay,YUT
CYUX,Hall Beach Airport,"-81.2425, 68.77610015869999",30,CA,Hall Beach,YUX
CYUY,Rouyn Noranda Airport,"-78.83560180664062, 48.20610046386719",988,CA,Rouyn-Noranda,YUY
CYVB,Bonaventure Airport,"-65.46029663085938, 48.07109832763672",123,CA,Bonaventure,YVB
CYVC,La Ronge Airport,"-105.262001038, 55.151401519800004",1242,CA,La Ronge,YVC
CYVD,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,"-100.917999268, 49.8782997131",1454,CA,Virden,
CYVK,Vernon Airport,"-119.33100128173828, 50.24810028076172",1140,CA,Vernon,YVE
CYVM,Qikiqtarjuaq Airport,"-64.03140258789999, 67.5457992554",21,CA,Qikiqtarjuaq,YVM
CYVO,Val-d'Or Airport,"-77.7827987671, 48.0532989502",1107,CA,Val-d'Or,YVO
CYVP,Kuujjuaq Airport,"-68.4269027709961, 58.096099853515625",129,CA,Kuujjuaq,YVP
CYVQ,Norman Wells Airport,"-126.7979965209961, 65.28160095214844",238,CA,Norman Wells,YVQ
CYVR,Vancouver International Airport,"-123.183998108, 49.193901062",14,CA,Vancouver,YVR
CYVV,Wiarton Airport,"-81.107201, 44.7458",729,CA,Wiarton,YVV
CYVZ,Deer Lake Airport,"-94.0614013671875, 52.655799865722656",1092,CA,Deer Lake,YVZ
CYWA,Petawawa Airport,"-77.31919860839844, 45.95220184326172",427,CA,Petawawa,YWA
CYWG,Winnipeg / James Armstrong Richardson International Airport,"-97.2398986816, 49.909999847399995",783,CA,Winnipeg,YWG
CYWJ,Déline Airport,"-123.43599700927734, 65.21109771728516",703,CA,Déline,YWJ
CYWK,Wabush Airport,"-66.8644027709961, 52.92190170288086",1808,CA,Wabush,YWK
CYWL,Williams Lake Airport,"-122.054000854, 52.1831016541",3085,CA,Williams Lake,YWL
CYWP,Webequie Airport,"-87.3748683929, 52.9593933975",685,CA,Webequie,YWP
CYWY,Wrigley Airport,"-123.43699645996094, 63.20940017700195",489,CA,Wrigley,YWY
CYXC,Cranbrook/Canadian Rockies International Airport,"-115.78199768066, 49.610801696777",3082,CA,Cranbrook,YXC
CYXE,Saskatoon John G. Diefenbaker International Airport,"-106.69999694824219, 52.170799255371094",1653,CA,Saskatoon,YXE
CYXH,Medicine Hat Airport,"-110.72100067138672, 50.01890182495117",2352,CA,Medicine Hat,YXH
CYXJ,Fort St John Airport,"-120.73999786376953, 56.23809814453125",2280,CA,Fort St.John,YXJ
CYXK,Rimouski Airport,"-68.49690246582031, 48.47809982299805",82,CA,Rimouski,YXK
CYXL,Sioux Lookout Airport,"-91.9052963256836, 50.11389923095703",1258,CA,Sioux Lookout,YXL
CYXN,Whale Cove Airport,"-92.59809875490001, 62.24000167849999",40,CA,Whale Cove,YXN
CYXP,Pangnirtung Airport,"-65.71360015869999, 66.1449966431",75,CA,Pangnirtung,YXP
CYXQ,Beaver Creek Airport,"-140.86700439453125, 62.410301208496094",2131,CA,Beaver Creek,YXQ
CYXR,Earlton (Timiskaming Regional) Airport,"-79.8473453522, 47.697400654599996",800,CA,Earlton,YXR
CYXS,Prince George Airport,"-122.679000854, 53.8894004822",2267,CA,Prince George,YXS
CYXT,Northwest Regional Airport Terrace-Kitimat,"-128.576009, 54.468498",713,CA,Terrace,YXT
CYXU,London Airport,"-81.1539, 43.035599",912,CA,London,YXU
CYXX,Abbotsford Airport,"-122.36100006103516, 49.025299072265625",195,CA,Abbotsford,YXX
CYXY,Whitehorse / Erik Nielsen International Airport,"-135.067001343, 60.7095985413",2317,CA,Whitehorse,YXY
CYXZ,Wawa Airport,"-84.78669738769531, 47.96670150756836",942,CA,Wawa,YXZ
CYYB,North Bay Airport,"-79.42279815673828, 46.36360168457031",1215,CA,North Bay,YYB
CYYC,Calgary International Airport,"-114.019996643, 51.113899231",3557,CA,Calgary,YYC
CYYD,Smithers Airport,"-127.18299865722656, 54.82469940185547",1712,CA,Smithers,YYD
CYYE,Fort Nelson Airport,"-122.597000122, 58.8363990784",1253,CA,Fort Nelson,YYE
CYYF,Penticton Airport,"-119.60199737548828, 49.46310043334961",1129,CA,Penticton,YYF
CYYG,Charlottetown Airport,"-63.12110137939453, 46.290000915527344",160,CA,Charlottetown,YYG
CYYH,Taloyoak Airport,"-93.5766983032, 69.5466995239",92,CA,Taloyoak,YYH
CYYJ,Victoria International Airport,"-123.426002502, 48.646900177",63,CA,Victoria,YYJ
CYYL,Lynn Lake Airport,"-101.07599639892578, 56.86389923095703",1170,CA,Lynn Lake,YYL
CYYN,Swift Current Airport,"-107.691001892, 50.291900634799994",2680,CA,Swift Current,YYN
CYYQ,Churchill Airport,"-94.06500244140625, 58.739200592041016",94,CA,Churchill,YYQ
CYYR,Goose Bay Airport,"-60.4258003235, 53.3191986084",160,CA,Goose Bay,YYR
CYYT,St. John's International Airport,"-52.7518997192, 47.618598938",461,CA,St. John's,YYT
CYYU,Kapuskasing Airport,"-82.46749877929688, 49.41389846801758",743,CA,Kapuskasing,YYU
CYYW,Armstrong Airport,"-88.90969848632812, 50.29029846191406",1058,CA,Armstrong,YYW
CYYY,Mont Joli Airport,"-68.20809936523438, 48.60860061645508",172,CA,Mont-Joli,YYY
CYYZ,Lester B. Pearson International Airport,"-79.63059997559999, 43.6772003174",569,CA,Toronto,YYZ
CYZD,Downsview Airport,"-79.4655990600586, 43.74250030517578",652,CA,Toronto,YZD
CYZE,Gore Bay Manitoulin Airport,"-82.56780242919922, 45.88529968261719",635,CA,Gore Bay,YZE
CYZF,Yellowknife Airport,"-114.44000244140625, 62.462799072265625",675,CA,Yellowknife,YZF
CYZG,Salluit Airport,"-75.66719818115234, 62.17940139770508",743,CA,Salluit,YZG
CYZH,Slave Lake Airport,"-114.777000427, 55.2930984497",1912,CA,Slave Lake,YZH
CYZP,Sandspit Airport,"-131.813995361, 53.25429916379999",21,CA,Sandspit,YZP
CYZR,Chris Hadfield Airport,"-82.30889892578125, 42.9994010925293",594,CA,Sarnia,YZR
CYZS,Coral Harbour Airport,"-83.3593978882, 64.1932983398",210,CA,Coral Harbour,YZS
CYZT,Port Hardy Airport,"-127.36699676513672, 50.680599212646484",71,CA,Port Hardy,YZT
CYZU,Whitecourt Airport,"-115.78700256347656, 54.14390182495117",2567,CA,Whitecourt,YZU
CYZV,Sept-Îles Airport,"-66.2656021118164, 50.22330093383789",180,CA,Sept-Îles,YZV
CYZW,Teslin Airport,"-132.7429962158203, 60.17279815673828",2313,CA,Teslin,YZW
CYZX,CFB Greenwood,"-64.91690063476562, 44.98440170288086",92,CA,Greenwood,YZX
CYZY,Mackenzie Airport,"-123.132003784, 55.304401397700005",2264,CA,Mackenzie,
CZAC,York Landing Airport,"-96.08920288085938, 56.08940124511719",621,CA,York Landing,ZAC
CZAM,Shuswap Regional Airport,"-119.228996, 50.682802",1751,CA,Salmon Arm,YSN
CZBB,Boundary Bay Airport,"-123.012001038, 49.0741996765",6,CA,Vancouver,YDT
CZBD,Ilford Airport,"-95.613899231, 56.0614013672",642,CA,Ilford,ILF
CZBF,Bathurst Airport,"-65.738899231, 47.629699707",193,CA,Bathurst,ZBF
CZBM,Bromont (Roland Desourdy) Airport,"-72.74140167239999, 45.2907981873",375,CA,Bromont,ZBM
CZEE,Kelsey Airport,"-96.50969696039999, 56.0374984741",600,CA,Kelsey,KES
CZEM,Eastmain River Airport,"-78.52249908447266, 52.22639846801758",24,CA,Eastmain River,ZEM
CZFA,Faro Airport,"-133.37600708007812, 62.20750045776367",2351,CA,Faro,ZFA
CZFD,Fond-Du-Lac Airport,"-107.18199920654297, 59.33440017700195",814,CA,Fond-Du-Lac,ZFD
CZFG,Pukatawagan Airport,"-101.26599884, 55.7491989136",958,CA,Pukatawagan,XPK
CZFM,Fort Mcpherson Airport,"-134.86099243164062, 67.40750122070312",116,CA,Fort Mcpherson,ZFM
CZFN,Tulita Airport,"-125.572998046875, 64.90969848632812",332,CA,Tulita,ZFN
CZGF,Grand Forks Airport,"-118.43099975585938, 49.01559829711914",1720,CA,Grand Forks,ZGF
CZGI,Gods River Airport,"-94.07859802246094, 54.839698791503906",627,CA,Gods River,ZGI
CZGR,Little Grand Rapids Airport,"-95.4657974243164, 52.04560089111328",1005,CA,Little Grand Rapids,ZGR
CZJG,Jenpeg Airport,"-98.04609680175781, 54.51890182495117",729,CA,Jenpeg,ZJG
CZJN,Swan River Airport,"-101.23600006103516, 52.120601654052734",1100,CA,Swan River,ZJN
CZKE,Kashechewan Airport,"-81.67780303955078, 52.282501220703125",35,CA,Kashechewan,ZKE
CZLQ,Thicket Portage Airport,"-97.70780181884766, 55.31890106201172",678,CA,Thicket Portage,YTD
CZMD,Muskrat Dam Airport,"-91.76280212402344, 53.44139862060547",911,CA,Muskrat Dam,MSA
CZMN,Pikwitonei Airport,"-97.16419982910156, 55.58890151977539",630,CA,Pikwitonei,PIW
CZMT,Masset Airport,"-132.125, 54.02750015258789",25,CA,Masset,ZMT
CZNG,Poplar River Airport,"-97.2741937637, 52.9965258788",728,CA,Poplar River,XPP
CZPB,Sachigo Lake Airport,"-92.19640350341797, 53.8911018371582",876,CA,Sachigo Lake,ZPB
CZPC,Pincher Creek Airport,"-113.997001648, 49.520599365200006",3903,CA,Pincher Creek,WPC
CZRJ,Round Lake (Weagamow Lake) Airport,"-91.31279754638672, 52.943599700927734",974,CA,Round Lake,ZRJ
CZSJ,Sandy Lake Airport,"-93.34439849853516, 53.06420135498047",951,CA,Sandy Lake,ZSJ
CZSN,South Indian Lake Airport,"-98.9072036743, 56.7928009033",951,CA,South Indian Lake,XSI
CZST,Stewart Airport,"-129.982434511, 55.935410448",24,CA,Stewart,ZST
CZTM,Shamattawa Airport,"-92.0813980102539, 55.8656005859375",289,CA,Shamattawa,ZTM
CZUC,Ignace Municipal Airport,"-91.7177963256836, 49.4296989440918",1435,CA,Ignace,ZUC
CZWH,Lac Brochet Airport,"-101.46900177, 58.6175003052",1211,CA,Lac Brochet,XLB
CZWL,Wollaston Lake Airport,"-103.1719970703125, 58.10689926147461",1360,CA,Wollaston Lake,ZWL
DAAB,Blida Airport,"2.8141698837280273, 36.50360107421875",535,DZ,,QLD
DAAD,Bou Saada Airport,"4.206389904022217, 35.33250045776367",1506,DZ,,BUJ
DAAE,Soummam Airport,"5.0699200630200005, 36.7120018005",20,DZ,Béjaïa,BJA
DAAG,Houari Boumediene Airport,"3.215409994125366, 36.691001892089844",82,DZ,Algiers,ALG
DAAJ,Djanet Inedbirene Airport,"9.45244, 24.292801",3176,DZ,Djanet,DJG
DAAK,Boufarik Airport,"2.87611, 36.545799",335,DZ,,
DAAP,Illizi Takhamalt Airport,"8.62265014648, 26.7234992981",1778,DZ,Illizi,VVZ
DAAS,Ain Arnat Airport,"5.3244900703399995, 36.178100585900005",3360,DZ,Sétif,QSF
DAAT,Aguenar – Hadj Bey Akhamok Airport,"5.45107984543, 22.8115005493",4518,DZ,Tamanrasset,TMR
DAAV,Jijel Ferhat Abbas Airport,"5.87361001968, 36.7951011658",36,DZ,Jijel,GJL
DAAY,Mecheria Airport,"-0.242353007197, 33.535900116",3855,DZ,Mecheria,MZW
DAAZ,Relizane Airport,"0.626272, 35.752201",282,DZ,Zemmora,
DABB,Rabah Bitat Airport,"7.809174, 36.822201",16,DZ,Annaba,AAE
DABC,Mohamed Boudiaf International Airport,"6.620389938354492, 36.2760009765625",2265,DZ,Constantine,CZL
DABS,Cheikh Larbi Tébessi Airport,"8.12071990967, 35.4315986633",2661,DZ,Tébessi,TEE
DABT,Batna Airport,"6.308589935300001, 35.752101898199996",2697,DZ,Batna,BLJ
DAFH,Hassi R'Mel Airport,"3.311539888381958, 32.93040084838867",2540,DZ,,HRM
DAOB,Bou Chekif Airport,"1.46315002441, 35.3410987854",3245,DZ,Tiaret,TID
DAOF,Tindouf Airport,"-8.167099952700001, 27.7003993988",1453,DZ,Tindouf,TIN
DAOI,Ech Cheliff Airport,"1.33176994324, 36.2126998901",463,DZ,,CFK
DAOL,Tafaraoui Airport,"-0.5322780013084412, 35.54240036010742",367,DZ,,TAF
DAON,Zenata – Messali El Hadj Airport,"-1.45000004768, 35.0167007446",814,DZ,Tlemcen,TLM
DAOO,Es Senia Airport,"-0.6211829781529999, 35.6239013672",295,DZ,Oran,ORN
DAOR,Béchar Boudghene Ben Ali Lotfi Airport,"-2.269860029220581, 31.645700454711914",2661,DZ,Béchar,CBH
DAOV,Ghriss Airport,"0.14714199304580688, 35.207698822021484",1686,DZ,,MUW
DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport,"-0.18641400337219238, 27.837600708007812",919,DZ,,AZR
DAUB,Biskra Airport,"5.73823022842, 34.793300628699996",289,DZ,Biskra,BSK
DAUE,El Golea Airport,"2.8595900535583496, 30.571300506591797",1306,DZ,,ELG
DAUG,Noumérat - Moufdi Zakaria Airport,"3.794110059738159, 32.38410186767578",1512,DZ,Ghardaïa,GHA
DAUH,Oued Irara Airport,"6.140439987180001, 31.673000335699996",463,DZ,Hassi Messaoud,HME
DAUI,In Salah Airport,"2.51202011108, 27.250999450699997",896,DZ,In Salah,INZ
DAUK,Touggourt Sidi Madhi Airport,"6.088669776916504, 33.06779861450195",279,DZ,Touggourt,TGR
DAUL,Laghouat Airport,"2.92833995819, 33.764400482199996",2510,DZ,Laghouat,LOO
DAUO,Guemar Airport,"6.77679014206, 33.5113983154",203,DZ,Guemar,ELU
DAUT,Timimoun Airport,"0.276033014059, 29.2371006012",1027,DZ,Timimoun,TMX
DAUU,Ain el Beida Airport,"5.412779808044434, 31.917200088500977",492,DZ,Ouargla,OGX
DAUZ,In Aménas Airport,"9.64291000366, 28.0515003204",1847,DZ,Aménas,IAM
